2026-05-05 06:25:24 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 06:25:25 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 06:25:25 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 06:36:20 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 06:57:25 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 06:57:26 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 06:57:26 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 07:19:53 | INFO     | routers.profile | Creating new profile for user_id=5
2026-05-05 07:41:35 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 08:24:58 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 08:25:00 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 08:25:00 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 08:25:52 | INFO     | services.tutor | Calling Gemini tutor for question_id=3 bucket=Intermediate
2026-05-05 08:26:03 | ERROR    | services.gemini_utils | Gemini response truncated (MAX_TOKENS). Increase maxOutputTokens or reduce prompt size.
2026-05-05 08:27:49 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 08:27:53 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 08:27:54 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 08:27:54 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 08:28:10 | INFO     | services.tutor | Calling Gemini tutor for question_id=3 bucket=Intermediate
2026-05-05 08:47:13 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 12:53:29 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 12:53:31 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 12:53:31 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 12:58:24 | ERROR    | services.email | Brevo HTTP 401 for <vyas.suppot@gmail.com>: {"message":"API Key is not enabled","code":"unauthorized"}

2026-05-05 12:58:24 | ERROR    | routers.contact | Contact email delivery failed for Abhinav SIngh <sinabhinav19@gmail.com>. Message may still be in DB.
2026-05-05 13:00:33 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 13:01:53 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 13:01:55 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 13:01:55 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 13:03:16 | ERROR    | services.email | Brevo HTTP 401 for <support@vyasmock.online>: {"message":"API Key is not enabled","code":"unauthorized"}

2026-05-05 13:03:16 | ERROR    | routers.contact | Contact email delivery failed for Abhinav Singh <sinabhinav19@gmail.com>. Message may still be in DB.
2026-05-05 13:04:48 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 13:05:03 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 13:05:04 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 13:05:04 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 13:05:51 | INFO     | services.email | Email sent via Brevo → support@vyasmock.online | messageId: <202605050735.76030844299@smtp-relay.mailin.fr> | subject: VYAS Contact: Abhinav Singh
2026-05-05 13:06:36 | INFO     | main | VYAS v0.6 shutting down.
2026-05-05 13:34:36 | INFO     | main | VYAS v0.6 starting up...
2026-05-05 13:34:39 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-05 13:34:39 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-05 13:39:58 | INFO     | main | VYAS v0.6 shutting down.
2026-05-07 07:55:54 | INFO     | main | VYAS v0.6 starting up...
2026-05-07 07:55:56 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-07 07:55:56 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-07 08:02:12 | INFO     | services.tutor | Calling Gemini tutor for question_id=7 bucket=Intermediate
2026-05-07 08:03:02 | INFO     | services.ai_mock | Generating AI mock: exam=CUET subject=English difficulty=medium count=20 model=gemini-2.5-flash-lite
2026-05-07 08:03:05 | ERROR    | services.ai_mock | Gemini mock HTTP error (attempt 1/2): status=503 body='{\n  "error": {\n    "code": 503,\n    "message": "This model is currently experiencing high demand. Spikes in demand are usually temporary. Please try again later.",\n    "status": "UNAVAILABLE"\n  }\n}\n' model=gemini-2.5-flash-lite
2026-05-07 08:12:10 | INFO     | main | Attempt 58 submitted by user 5: score=-1.0/80
2026-05-07 08:14:01 | INFO     | services.tutor | Calling Gemini tutor for question_id=5 bucket=Intermediate
2026-05-07 08:16:38 | INFO     | services.tutor | Calling Gemini tutor for question_id=16 bucket=Intermediate
2026-05-07 08:56:16 | INFO     | main | VYAS v0.6 shutting down.
2026-05-07 10:15:47 | INFO     | main | VYAS v0.6 starting up...
2026-05-07 10:15:49 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-07 10:15:49 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-07 10:26:27 | INFO     | main | VYAS v0.6 shutting down.
2026-05-07 10:27:21 | INFO     | main | VYAS v0.6 starting up...
2026-05-07 10:27:23 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-07 10:27:23 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-07 10:36:33 | INFO     | main | VYAS v0.6 shutting down.
2026-05-07 10:38:15 | INFO     | main | VYAS v0.6 starting up...
2026-05-07 10:38:16 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-07 10:38:16 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-07 10:42:30 | INFO     | main | VYAS v0.6 shutting down.
2026-05-07 10:44:45 | INFO     | main | VYAS v0.6 starting up...
2026-05-07 10:44:47 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-07 10:44:47 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-07 11:43:32 | INFO     | main | VYAS v0.6 shutting down.
2026-05-07 12:14:48 | INFO     | main | VYAS v0.6 starting up...
2026-05-07 12:14:51 | INFO     | main | Seed complete: 0 mock tests processed, 0 errors
2026-05-07 12:14:51 | INFO     | main | Mock test seeding complete. QB_ROOT=..\question_bank
2026-05-07 12:15:19 | INFO     | services.ai_mock | Generating AI mock: exam=CUET subject=Accountancy difficulty=medium count=20 model=gemini-2.5-flash-lite
